Date, Open, High, Low, Close
2022-12-05,2344.33,2344.33,2301.55,2309.2
2022-12-02,2336.83,2360.83,2328.86,2355.5
2022-12-01,2362.71,2370.48,2343.1,2357.3
2022-11-30,2287.3,2358.45,2276.63,2358.45
2022-11-29,2290.1,2298.91,2278.35,2287.85
2022-11-28,2313.1,2318.74,2285.8,2290.33
2022-11-25,2325.44,2331.79,2323.19,2327.55
2022-11-23,2312.22,2330.89,2311.18,2327.15
2022-11-22,2288.63,2314.7,2286.45,2313.62
2022-11-21,2288.78,2289.51,2273.74,2282.83
2022-11-18,2295.55,2303.39,2276.47,2292.95
2022-11-17,2277.65,2286.57,2259.67,2282.41
2022-11-16,2310.87,2310.87,2289.74,2292.09
2022-11-15,2310.85,2335.06,2294.8,2315.69
2022-11-14,2308.99,2323.14,2292.29,2292.62
2022-11-11,2295.93,2320.99,2288.56,2315.32
2022-11-10,2216.78,2293.18,2216.78,2292.3
2022-11-09,2207.28,2208.07,2165.37,2167.94
2022-11-08,2211.17,2235.46,2192.24,2216.0
2022-11-07,2192.14,2208.46,2181.3,2204.56
2022-11-04,2182.11,2199.75,2149.56,2184.8
2022-11-03,2162.08,2176.0,2143.86,2158.28
2022-11-02,2234.79,2258.13,2179.52,2179.96
2022-11-01,2260.72,2269.45,2232.2,2238.86
2022-10-31,2249.45,2258.36,2240.42,2245.81
2022-10-28,2215.54,2263.1,2210.06,2260.96
2022-10-27,2226.62,2238.93,2206.89,2208.84
2022-10-26,2222.86,2253.27,2216.64,2220.06
2022-10-25,2194.69,2236.5,2194.69,2234.36
2022-10-24,2178.73,2201.2,2162.71,2194.27
2022-10-21,2122.22,2174.15,2113.74,2171.39
2022-10-20,2140.9,2164.02,2117.11,2122.52
2022-10-19,2151.09,2160.51,2123.67,2139.78
2022-10-18,2153.34,2182.25,2139.85,2158.49
2022-10-17,2094.27,2139.45,2094.27,2133.15
2022-10-14,2142.21,2152.05,2074.4,2076.07
2022-10-13,2035.68,2136.35,2026.23,2127.6
2022-10-12,2083.36,2091.87,2074.24,2076.34
2022-10-11,2088.8,2112.3,2067.7,2082.67
2022-10-10,2118.66,2118.89,2081.73,2095.72
2022-10-07,2154.01,2154.01,2102.08,2112.59
2022-10-06,2189.93,2204.46,2171.92,2174.7
2022-10-05,2175.67,2207.89,2159.59,2195.42
2022-10-04,2159.37,2201.28,2159.37,2200.9
2022-10-03,2096.31,2142.67,2088.65,2131.63
2022-09-30,2105.32,2127.18,2076.95,2077.61
2022-09-29,2149.05,2149.05,2089.0,2106.34
2022-09-28,2112.28,2162.61,2106.25,2152.45
2022-09-27,2121.96,2146.63,2093.63,2107.46
2022-09-26,2129.0,2147.89,2104.87,2109.75
2022-09-23,2162.03,2162.03,2107.36,2133.67
2022-09-22,2195.19,2195.82,2169.18,2172.79
2022-09-21,2242.18,2264.25,2196.62,2196.87
2022-09-20,2253.04,2253.04,2219.13,2234.47
2022-09-19,2233.63,2262.1,2226.76,2261.72
2022-09-16,2257.7,2257.7,2225.71,2245.92
2022-09-15,2286.01,2299.65,2259.07,2266.47
2022-09-14,2285.32,2298.06,2271.57,2291.01
2022-09-13,2364.82,2364.82,2276.67,2283.09
2022-09-12,2364.8,2389.13,2364.8,2384.91
2022-09-09,2328.56,2364.45,2328.56,2359.5
2022-09-08,2298.32,2322.24,2283.66,2321.41
2022-09-07,2260.13,2308.37,2259.99,2304.26
2022-09-06,2274.96,2281.2,2249.43,2261.17
2022-09-02,2315.92,2324.71,2261.65,2271.66
2022-09-01,2278.1,2296.3,2258.58,2294.63
2022-08-31,2319.08,2327.6,2293.09,2293.21
2022-08-30,2345.7,2345.87,2298.87,2310.69
2022-08-29,2335.27,2355.67,2330.37,2336.97
2022-08-26,2436.26,2436.47,2353.5,2353.5
2022-08-25,2410.68,2435.74,2405.99,2435.17
2022-08-24,2389.42,2409.21,2386.45,2399.99
2022-08-23,2393.12,2409.8,2388.91,2390.78
2022-08-22,2419.76,2419.76,2390.5,2394.91
2022-08-19,2476.81,2476.81,2441.67,2447.32
2022-08-18,2476.76,2487.87,2470.28,2483.11
2022-08-17,2490.2,2493.4,2464.68,2476.88
2022-08-16,2491.26,2510.47,2481.59,2499.11
2022-08-15,2480.12,2497.0,2472.21,2494.9
2022-08-12,2446.75,2485.85,2446.75,2485.8
2022-08-11,2455.14,2474.78,2439.95,2443.08
2022-08-10,2412.29,2445.34,2412.29,2444.82
2022-08-09,2401.44,2401.44,2383.17,2389.46
2022-08-08,2408.88,2430.59,2398.11,2404.01
2022-08-05,2378.86,2406.42,2378.86,2403.21
2022-08-04,2405.59,2408.49,2394.0,2403.57
2022-08-03,2379.8,2412.03,2379.45,2405.45
2022-08-02,2370.24,2394.92,2360.29,2367.46
2022-08-01,2371.89,2394.62,2365.03,2380.52
2022-07-29,2354.59,2391.16,2354.59,2386.01
2022-07-28,2330.2,2356.73,2306.92,2354.28
2022-07-27,2277.05,2333.53,2277.05,2325.26
2022-07-26,2288.79,2288.79,2260.54,2265.96
2022-07-25,2292.61,2297.81,2280.27,2293.51
2022-07-22,2315.04,2322.93,2277.19,2290.17
2022-07-21,2290.06,2314.81,2274.03,2314.64
2022-07-20,2274.55,2299.76,2268.48,2293.03
2022-07-19,2231.75,2276.28,2231.75,2274.87
2022-07-18,2221.88,2223.5,2205.93,2212.2
2022-07-15,2197.21,2228.43,2197.21,2228.34
2022-07-14,2182.39,2188.76,2148.09,2185.44
2022-07-13,2191.81,2210.05,2170.09,2195.69
2022-07-12,2221.58,2235.09,2195.23,2204.84
2022-07-11,2248.36,2248.36,2220.38,2224.28
2022-07-08,2252.49,2264.77,2235.36,2253.13
2022-07-07,2225.08,2259.87,2225.08,2255.72
2022-07-06,2215.66,2233.48,2199.32,2218.99
2022-07-05,2200.63,2215.74,2159.59,2215.35
2022-07-01,2182.26,2210.35,2165.67,2208.26
2022-06-30,2194.22,2203.06,2155.87,2183.43
2022-06-29,2208.88,2213.91,2192.51,2204.11
2022-06-28,2260.27,2279.86,2208.51,2208.98
2022-06-27,2264.11,2269.64,2247.72,2254.61
2022-06-24,2200.3,2261.58,2200.3,2260.78
2022-06-23,2174.48,2195.9,2160.85,2192.02
2022-06-22,2159.33,2192.11,2146.86,2168.86
2022-06-21,2134.53,2181.01,2134.53,2171.4
2022-06-17,2114.9,2139.95,2100.15,2122.23
2022-06-16,2168.81,2168.81,2098.72,2113.7
2022-06-15,2168.96,2217.27,2152.18,2190.04
2022-06-14,2168.04,2181.99,2140.54,2157.81
2022-06-13,2230.99,2230.99,2157.24,2165.73
2022-06-10,2308.99,2308.99,2257.08,2257.76
2022-06-09,2377.9,2381.61,2326.12,2326.38
2022-06-08,2403.61,2409.26,2378.53,2383.24
2022-06-07,2376.44,2411.73,2361.61,2409.86
2022-06-06,2389.33,2410.19,2378.39,2384.95
2022-06-03,2399.72,2399.72,2371.64,2377.33
2022-06-02,2369.58,2415.85,2357.34,2415.69
2022-06-01,2396.5,2406.35,2351.32,2368.5
2022-05-31,2395.5,2406.36,2371.6,2386.32
2022-05-27,2353.26,2404.36,2353.26,2404.3
2022-05-26,2302.05,2354.83,2302.05,2345.23
2022-05-25,2267.97,2309.51,2263.7,2298.06
2022-05-24,2281.33,2281.33,2235.6,2272.26
2022-05-23,2268.44,2300.32,2259.24,2295.47
2022-05-20,2262.41,2280.63,2203.12,2256.4
2022-05-19,2262.83,2281.77,2240.84,2256.39
2022-05-18,2355.97,2355.97,2259.56,2265.72
2022-05-17,2319.05,2360.63,2319.05,2360.22
2022-05-16,2321.23,2333.16,2300.61,2311.07
2022-05-13,2272.17,2331.87,2272.17,2323.05
2022-05-12,2256.87,2283.76,2222.89,2264.05
2022-05-11,2299.74,2332.04,2258.77,2262.16
2022-05-10,2310.23,2341.83,2275.39,2303.28
2022-05-09,2378.0,2378.0,2289.46,2298.44
2022-05-06,2396.15,2402.05,2349.54,2380.57
2022-05-05,2479.12,2479.12,2375.77,2399.5
2022-05-04,2423.29,2495.29,2401.85,2491.45
2022-05-03,2410.28,2433.73,2404.77,2420.62
2022-05-02,2393.75,2416.2,2355.67,2409.35
2022-04-29,2477.78,2477.78,2389.58,2393.63
2022-04-28,2428.94,2494.09,2422.98,2482.03
2022-04-27,2428.64,2454.87,2412.24,2423.66
2022-04-26,2480.34,2480.34,2420.17,2420.33
2022-04-25,2472.68,2493.28,2437.59,2492.33
2022-04-22,2542.3,2542.3,2474.5,2476.5
2022-04-21,2594.01,2619.58,2540.76,2545.99
2022-04-20,2591.88,2607.74,2583.77,2588.65
2022-04-19,2546.16,2595.79,2546.16,2590.99
